iter	Passed	Remaining
399	39317	58975
400	39410	58869
401	39506	58768
402	39602	58666
403	39704	58573
404	39801	58473
405	39891	58362
406	39986	58260
407	40082	58158
408	40181	58061
409	40279	57962
410	40377	57864
411	40455	57737
412	40549	57633
413	40642	57527
414	40738	57426
415	40821	57306
416	40914	57201
417	41011	57102
418	41111	57006
419	41212	56912
420	41306	56808
421	41402	56707
422	41498	56606
423	41575	56479
424	41664	56369
425	41756	56263
426	41849	56158
427	41945	56057
428	42039	55954
429	42131	55848
430	42234	55757
431	42327	55652
432	42418	55545
433	42531	55467
434	42624	55363
435	42724	55267
436	42819	55165
437	42914	55064
438	43008	54960
439	43101	54855
440	43203	54764
441	43304	54668
442	43400	54569
443	43495	54467
444	43590	54365
445	43683	54261
446	43773	54153
447	43872	54056
448	43960	53947
449	44058	53849
450	44144	53736
451	44213	53604
452	44303	53497
453	44398	53395
454	44488	53288
455	44573	53175
456	44636	53036
457	44731	52936
458	44832	52841
459	44931	52746
460	45027	52646
461	45122	52545
462	45230	52459
463	45346	52383
464	45450	52292
465	45541	52187
466	45638	52089
467	45731	51985
468	45837	51896
469	45933	51797
470	46032	51700
471	46129	51602
472	46232	51510
473	46336	51419
474	46433	51321
475	46529	51221
476	46622	51118
477	46717	51017
478	46813	50918
479	46930	50841
480	47042	50758
481	47135	50656
482	47237	50563
483	47331	50460
484	47425	50359
485	47520	50257
486	47612	50153
487	47710	50056
488	47804	49955
489	47897	49852
490	47992	49752
491	48094	49658
492	48198	49567
493	48298	49471
494	48397	49375
495	48493	49275
496	48592	49179
497	48713	49104
498	48806	49002
499	48902	48902
500	48997	48801
501	49095	48704
502	49201	48614
503	49298	48516
504	49390	48412
505	49483	48310
506	49576	48207
507	49669	48105
508	49766	48007
509	49866	47911
510	49961	47810
511	50052	47706
512	50154	47612
513	50259	47521
514	50356	47422
515	50450	47322
516	50547	47223
517	50634	47115
518	50694	46982
519	50793	46886
520	50873	46772
521	50972	46676
522	51071	46579
523	51175	46487
524	51272	46389
525	51374	46295
526	51465	46191
527	51562	46094
528	51658	45994
529	51754	45895
530	51854	45799
531	51952	45702
532	52048	45603
533	52128	45490
534	52231	45397
535	52331	45301
536	52425	45200
537	52522	45103
538	52613	44999
539	52708	44899
540	52800	44797
541	52892	44695
542	52984	44592
543	53079	44492
544	53176	44394
545	53269	44293
546	53362	44192
547	53437	44075
548	53532	43976
549	53619	43870
550	53712	43769
551	53807	43669
552	53882	43554
553	53978	43455
554	54077	43359
555	54178	43264
556	54257	43152
557	54326	43032
558	54424	42935
559	54526	42842
560	54620	42742
561	54715	42642
562	54792	42530
563	54887	42431
564	54982	42331
565	55075	42231
566	55182	42141
567	55282	42045
568	55374	41944
569	55512	41878
570	55687	41838
571	55784	41740
572	55878	41640
573	55976	41543
574	56071	41444
575	56175	41351
576	56276	41256
577	56371	41157
578	56465	41057
579	56559	40956
580	56648	40852
581	56736	40748
582	56829	40648
583	56920	40545
584	57016	40447
585	57108	40346
586	57209	40251
587	57340	40177
588	57441	40082
589	57536	39983
590	57631	39884
591	57728	39785
592	57821	39685
593	57911	39582
594	58004	39482
595	58099	39382
596	58197	39285
597	58293	39187
598	58385	39085
599	58456	38970
600	58546	38868
601	58647	38773
602	58740	38673
603	58827	38569
604	58920	38468
605	59016	38370
606	59112	38272
607	59214	38177
608	59305	38076
609	59398	37976
610	59491	37875
611	59581	37773
612	59659	37664
613	59753	37565
614	59843	37463
615	59944	37368
616	60039	37269
617	60135	37171
618	60231	37073
619	60326	36974
620	60422	36876
621	60512	36774
622	60601	36672
623	60696	36573
624	60801	36480
625	60896	36382
626	60990	36283
627	61090	36187
628	61214	36105
629	61312	36008
630	61412	35912
631	61510	35816
632	61607	35718
633	61696	35616
634	61789	35516
635	61879	35415
636	61976	35317
637	62073	35220
638	62154	35113
639	62251	35016
640	62358	34924
641	62451	34824
642	62541	34723
643	62639	34626
644	62733	34527
645	62824	34427
646	62912	34324
647	63006	34225
648	63097	34125
649	63200	34031
650	63297	33933
651	63391	33834
652	63483	33734
653	63578	33636
654	63671	33537
655	63765	33438
656	63859	33339
657	63958	33243
658	64055	33145
659	64164	33054
660	64258	32955
661	64354	32857
662	64451	32760
663	64544	32661
664	64601	32543
665	64690	32442
666	64787	32345
667	64884	32248
668	64974	32147
669	65072	32050
670	65171	31954
671	65268	31857
672	65366	31760
673	65465	31664
674	65557	31564
675	65631	31456
676	65706	31348
677	65805	31252
678	65894	31152
679	65986	31052
680	66080	30953
681	66181	30858
682	66282	30763
683	66375	30664
684	66475	30568
685	66572	30472
686	66661	30371
687	66753	30272
688	66847	30173
689	66943	30075
690	67038	29978
691	67142	29884
692	67236	29786
693	67352	29697
694	67451	29600
695	67555	29507
696	67658	29412
697	67759	29316
698	67853	29218
699	67936	29115
700	68032	29018
701	68140	28925
702	68237	28828
703	68333	28731
704	68428	28633
705	68520	28534
706	68615	28436
707	68707	28336
708	68773	28227
709	68868	28129
710	68970	28034
711	69063	27935
712	69153	27836
713	69251	27739
714	69344	27640
715	69439	27542
716	69533	27445
717	69624	27345
718	69715	27246
719	69808	27147
720	69906	27051
721	70007	26955
722	70109	26860
723	70204	26762
724	70295	26663
725	70390	26566
726	70481	26466
727	70570	26367
728	70662	26268
729	70755	26169
730	70848	26071
731	70945	25974
732	71039	25876
733	71134	25778
734	71234	25683
735	71330	25585
736	71429	25489
737	71534	25395
738	71630	25298
739	71735	25204
740	71821	25103
741	71927	25010
742	72032	24915
743	72143	24823
744	72258	24732
745	72365	24639
746	72475	24546
747	72593	24456
748	72711	24366
749	72822	24274
750	72926	24179
751	73036	24086
752	73152	23995
753	73254	23899
754	73333	23796
755	73435	23701
756	73509	23596
757	73611	23501
758	73711	23405
759	73814	23309
760	73913	23213
761	74017	23118
762	74126	23024
763	74225	22928
764	74325	22831
765	74424	22735
766	74485	22627
767	74584	22530
768	74679	22432
769	74776	22335
770	74877	22239
771	74985	22145
772	75119	22059
773	75214	21961
774	75310	21864
775	75417	21770
776	75519	21674
777	75613	21576
778	75713	21479
779	75821	21385
780	75923	21289
781	76023	21193
782	76123	21096
783	76212	20997
784	76320	20902
785	76423	20807
786	76521	20710
787	76619	20613
788	76718	20516
789	76817	20419
790	76920	20324
791	76998	20221
792	77107	20127
793	77211	20032
794	77333	19941
795	77417	19840
796	77516	19743
797	77615	19646
798	77724	19552
799	77836	19459
800	77942	19363
801	78052	19269
802	78163	19175
803	78271	19081
804	78386	18987
805	78474	18888
806	78601	18798
807	78730	18708
808	78834	18612
809	78957	18520
810	79079	18429
811	79206	18338
812	79344	18250
813	79484	18162
814	79614	18072
815	79734	17979
816	79859	17887
817	79985	17796
818	80118	17706
819	80242	17614
820	80371	17523
821	80498	17431
822	80597	17333
823	80676	17231
824	80791	17137
825	80942	17050
826	81045	16953
827	81149	16857
828	81243	16758
829	81324	16656
830	81423	16559
831	81530	16462
832	81625	16364
833	81736	16268
834	81839	16171
835	81949	16076
836	82055	15979
837	82160	15883
838	82267	15786
839	82373	15690
840	82476	15593
841	82568	15493
842	82664	15395
843	82760	15296
844	82859	15199
845	82960	15101
846	83054	15002
847	83137	14901
848	83235	14803
849	83330	14705
850	83424	14606
851	83520	14508
852	83616	14409
853	83710	14311
854	83813	14213
855	83912	14116
856	84007	14017
857	84112	13920
858	84210	13822
859	84303	13723
860	84402	13625
861	84501	13528
862	84598	13429
863	84680	13329
864	84779	13231
865	84856	13130
866	84947	13031
867	85050	12933
868	85146	12835
869	85241	12737
870	85336	12638
871	85432	12540
872	85532	12442
873	85625	12344
874	85723	12246
875	85818	12147
876	85913	12049
877	86010	11951
878	86109	11853
879	86201	11754
880	86298	11656
881	86389	11557
882	86461	11456
883	86553	11357
884	86648	11259
885	86717	11157
886	86810	11059
887	86907	10961
888	87008	10863
889	87114	10766
890	87212	10669
891	87302	10570
892	87395	10471
893	87496	10374
894	87598	10276
895	87696	10179
896	87794	10081
897	87890	9983
898	87983	9884
899	88085	9787
900	88180	9689
901	88272	9590
902	88365	9492
903	88459	9393
904	88553	9295
905	88655	9198
906	88746	9099
907	88840	9001
908	88938	8903
909	89032	8805
910	89128	8707
911	89222	8609
912	89323	8511
913	89416	8413
914	89515	8315
915	89592	8215
916	89677	8116
917	89769	8018
918	89873	7921
919	89976	7824
920	90081	7726
921	90206	7631
922	90332	7535
923	90460	7440
924	90578	7344
925	90676	7246
926	90771	7148
927	90866	7049
928	90969	6952
929	91071	6854
930	91174	6757
931	91278	6659
932	91375	6561
933	91466	6463
934	91562	6365
935	91656	6267
936	91749	6168
937	91843	6070
938	91928	5971
939	92022	5873
940	92126	5776
941	92223	5678
942	92320	5580
943	92419	5482
944	92522	5384
945	92597	5285
946	92691	5187
947	92792	5089
948	92887	4991
949	92985	4893
950	93090	4796
951	93191	4698
952	93288	4600
953	93385	4502
954	93482	4404
955	93578	4306
956	93671	4208
957	93760	4110
958	93854	4012
959	93954	3914
960	94053	3816
961	94123	3717
962	94219	3620
963	94314	3522
964	94411	3424
965	94506	3326
966	94589	3227
967	94681	3129
968	94743	3030
969	94835	2933
970	94933	2835
971	95029	2737
972	95130	2639
973	95224	2541
974	95314	2443
975	95413	2346
976	95506	2248
977	95601	2150
978	95722	2053
979	95864	1956
980	95968	1858
981	96062	1760
982	96169	1663
983	96270	1565
984	96363	1467
985	96462	1369
986	96555	1271
987	96649	1173
988	96749	1076
989	96847	978
990	96939	880
991	97026	782
992	97125	684
993	97217	586
994	97318	489
995	97416	391
996	97508	293
997	97603	195
998	97691	97
999	97789	0
